PARK NAME, ZIP, PARK CLASS
NELSON (ANDREW), 60618, MINI-PARK
POTTAWATTOMIE, 60626, COMMUNITY PARK
PRITZKER, 60604, PASSIVE PARK
GLADSTONE (WILLIAM), 60630, NEIGHBORHOOD PARK
HORAN (ALBERT), 60612, NEIGHBORHOOD PARK
MILLARD (ALDEN), 60623, MINI-PARK
DVORAK (ANTON), 60608, COMMUNITY PARK
ESSEX, 60619, MINI-PARK
KENSINGTON, 60628, NEIGHBORHOOD PARK
SHEDD (JOHN G.), 60623, COMMUNITY PARK
BURNHAM (DANIEL), 60616, MAGNET PARK
CURIE (MARIE), 60632, COMMUNITY PARK
ABBOTT (ROBERT), 60628, COMMUNITY PARK
HARDING (FREDERICK), 60651, MINI-PARK
LOGAN SQUARE SKATE PARK, 60647, NEIGHBORHOOD PARK
SUPERIOR, 60612, MINI-PARK
MERRYMAN (THERON), 60613, MINI-PARK
AUGUSTA (CARPENTER), 60651, NEIGHBORHOOD PARK
LIN (MARGARET HIE DING), 60616, MINI-PARK
HOLSTEIN, 60647, COMMUNITY PARK
TOUHY (PATRICK), 60626, COMMUNITY PARK
RAINEY (EDWARD), 60652, REGIONAL PARK
MANN (JAMES), 60633, REGIONAL PARK
SAINT LOUIS, 60624, MINI-PARK
CRAWFORD (PETER), 60623, MINI-PARK
HOYNE (THOMAS), 60608, NEIGHBORHOOD PARK
SACRAMENTO, 60618, NEIGHBORHOOD PARK
ATHLETIC FIELD, 60618, NEIGHBORHOOD PARK
PASTEUR (LOUIS), 60629, REGIONAL PARK
QUINN (MARY), 60646, PASSIVE PARK
WASHINGTON (GEORGE), 60637, CITYWIDE PARK
ARCADE, 60628, PASSIVE PARK
WARD (A. MONTGOMERY), 60610, UNIMPROVED PARK
PASCHEN (CHRISTIAN), 60626, NEIGHBORHOOD PARK
ADDAMS (JANE) MEML., 60611, PASSIVE PARK
WAGNER (CLARENCE), 60609, NEIGHBORHOOD PARK
HARDING (GEORGE), 60615, NEIGHBORHOOD PARK
SAUGANASH, 60646, COMMUNITY PARK
HOLLYWOOD, 60659, COMMUNITY PARK
GRAPE, 60618, MINI-PARK
SENECA, 60611, NEIGHBORHOOD PARK
HODES (BARNET), 60649, PASSIVE PARK
DEGEORGE (BERNICE), 60639, MINI-PARK
MCKEON (JOSEPH), 60609, MINI-PARK
SUPERA, 60614, MINI-PARK
OLYMPIA, 60631, COMMUNITY PARK
GRAND CROSSING, 60619, REGIONAL PARK
ASPEN, 60653, MINI-PARK
SOUTH SHORE CULTL. CTR., 60649, CITYWIDE PARK
JEFFERSON (THOMAS) MEML., 60630, COMMUNITY PARK
PARK NO. 528, 60629, NEIGHBORHOOD PARK
DUNBAR (PAUL LAURENCE), 60616, REGIONAL PARK
WEST CHATHAM, 60620, COMMUNITY PARK
WARREN (LAURENCE), 60645, CITYWIDE PARK
MERRIMAC, 60634, COMMUNITY PARK
TOM (PING) MEML., 60616, PASSIVE PARK
WALLACE, 60620, NEIGHBORHOOD PARK
RONAN (GEORGE), 60625, NEIGHBORHOOD PARK
UNITY, 60647, NEIGHBORHOOD PARK
HORNER (HENRY), 60618, REGIONAL PARK
OHIO, 60644, MINI-PARK
ADAMS (GEORGE & ADELE), 60614, NEIGHBORHOOD PARK
LYLE (JOHN), 60620, PASSIVE PARK
LILY GARDENS, 60621, PASSIVE PARK
LINDEN, 60651, NEIGHBORHOOD PARK
PARK NO. 489, 60612, NEIGHBORHOOD PARK
NORMANDY, 60638, NEIGHBORHOOD PARK
ARMOUR (PHILIP) SQUARE, 60616, COMMUNITY PARK
HAMILTON (ALEXANDER), 60621, REGIONAL PARK
CHURCHILL FIELD, 60614, NEIGHBORHOOD PARK
DEJULIO (ANTHONY), 60646, NEIGHBORHOOD PARK
NORWOOD, 60631, COMMUNITY PARK
TILTON (GEORGE), 60624, NEIGHBORHOOD PARK
CEDAR, 60640, MINI-PARK
DAVIS (DR. NATHAN) SQUARE, 60609, COMMUNITY PARK
NORTH MAYFAIR, 60630, NEIGHBORHOOD PARK
